tAB	nAB	tAC	nAC	tBC	nBC	ChA	ChB
0.00	0.00	0.00	0.00	0.00	0.00	21640650.00	21114761.00
0.00	0.00	0.00	0.00	0.00	0.00	21683942.00	21417198.00
0.00	0.00	0.00	0.00	0.00	0.00	21769557.00	21483852.00
0.00	0.00	0.00	0.00	0.00	0.00	21853095.00	21654362.00
0.00	0.00	0.00	0.00	0.00	0.00	21858344.00	21684425.00
0.00	0.00	0.00	0.00	0.00	0.00	21931920.00	21709000.00
0.00	0.00	0.00	0.00	0.00	0.00	21936629.00	21755310.00
0.00	0.00	0.00	0.00	0.00	0.00	22277179.00	21766020.00
0.00	0.00	0.00	0.00	0.00	0.00	22279107.00	21774227.00
0.00	0.00	0.00	0.00	0.00	0.00	22306006.00	21779410.00
0.00	0.00	0.00	0.00	0.00	0.00	22314420.00	21960870.00
0.00	0.00	0.00	0.00	0.00	0.00	22420949.00	21989745.00
0.00	0.00	0.00	0.00	0.00	0.00	22451311.00	22099285.00
0.00	0.00	0.00	0.00	0.00	0.00	22551325.00	22208654.00
0.00	0.00	0.00	0.00	0.00	0.00	22678542.00	22266108.00
0.00	0.00	0.00	0.00	0.00	0.00	22678837.00	22318357.00
0.00	0.00	0.00	0.00	0.00	0.00	22747036.00	22327450.00
0.00	0.00	0.00	0.00	0.00	0.00	22760631.00	22382196.00
0.00	0.00	0.00	0.00	0.00	0.00	22778519.00	22399562.00
0.00	0.00	0.00	0.00	0.00	0.00	22785616.00	22402760.00
0.00	0.00	0.00	0.00	0.00	0.00	22819776.00	22412677.00
0.00	0.00	0.00	0.00	0.00	0.00	22820400.00	22604038.00
0.00	0.00	0.00	0.00	0.00	0.00	23172687.00	22741196.00
0.00	0.00	0.00	0.00	0.00	0.00	23177262.00	22750620.00
0.00	0.00	0.00	0.00	0.00	0.00	23350273.00	22784527.00
0.00	0.00	0.00	0.00	0.00	0.00	23378758.00	22789853.00
0.00	0.00	0.00	0.00	0.00	0.00	23510490.00	22982796.00
0.00	0.00	0.00	0.00	0.00	0.00	23527582.00	23110616.00
0.00	0.00	0.00	0.00	0.00	0.00	23549951.00	23213148.00
0.00	0.00	0.00	0.00	0.00	0.00	23578569.00	23268469.00
0.00	0.00	0.00	0.00	0.00	0.00	23636667.00	23285932.00
0.00	0.00	0.00	0.00	0.00	0.00	23657654.00	23343641.00
0.00	0.00	0.00	0.00	0.00	0.00	23666433.00	23380265.00
0.00	0.00	0.00	0.00	0.00	0.00	23667376.00	23457905.00
0.00	0.00	0.00	0.00	0.00	0.00	23682740.00	23552681.00
0.00	0.00	0.00	0.00	0.00	0.00	23686808.00	23556229.00
0.00	0.00	0.00	0.00	0.00	0.00	23687356.00	23567741.00
0.00	0.00	0.00	0.00	0.00	0.00	23695185.00	23568465.00
0.00	0.00	0.00	0.00	0.00	0.00	23715287.00	23600040.00
0.00	0.00	0.00	0.00	0.00	0.00	23729750.00	23619453.00
0.00	0.00	0.00	0.00	0.00	0.00	23752357.00	23649999.00
0.00	0.00	0.00	0.00	0.00	0.00	23754288.00	23654678.00
0.00	0.00	0.00	0.00	0.00	0.00	23755999.00	23655505.00
0.00	0.00	0.00	0.00	0.00	0.00	23759556.00	23656779.00
0.00	0.00	0.00	0.00	0.00	0.00	23763025.00	23657154.00
0.00	0.00	0.00	0.00	0.00	0.00	23764311.00	23658174.00
0.00	0.00	0.00	0.00	0.00	0.00	24357282.00	23660013.00
0.00	0.00	0.00	0.00	0.00	0.00	24446907.00	23664779.00
0.00	0.00	0.00	0.00	0.00	0.00	24465828.00	23668344.00
0.00	0.00	0.00	0.00	0.00	0.00	24519114.00	23669061.00
0.00	0.00	0.00	0.00	0.00	0.00	24532351.00	23695770.00
0.00	0.00	0.00	0.00	0.00	0.00	24673517.00	23698643.00
0.00	0.00	0.00	0.00	0.00	0.00	24716060.00	23699944.00
0.00	0.00	0.00	0.00	0.00	0.00	24936482.00	23731663.00
0.00	0.00	0.00	0.00	0.00	0.00	24961168.00	23746965.00
0.00	0.00	0.00	0.00	0.00	0.00	25035418.00	23758581.00
0.00	0.00	0.00	0.00	0.00	0.00	25058604.00	23763797.00
0.00	0.00	0.00	0.00	0.00	0.00	25319511.00	23772974.00
0.00	0.00	0.00	0.00	0.00	0.00	25410570.00	23820263.00
0.00	0.00	0.00	0.00	0.00	0.00	25550191.00	23833684.00
0.00	0.00	0.00	0.00	0.00	0.00	25582241.00	23955941.00
0.00	0.00	0.00	0.00	0.00	0.00	25611464.00	23985585.00
0.00	0.00	0.00	0.00	0.00	0.00	25626941.00	24004653.00
0.00	0.00	0.00	0.00	0.00	0.00	25702657.00	24022014.00
0.00	0.00	0.00	0.00	0.00	0.00	25707103.00	24047417.00
0.00	0.00	0.00	0.00	0.00	0.00	25925836.00	24089187.00
0.00	0.00	0.00	0.00	0.00	0.00	25932632.00	24228934.00
0.00	0.00	0.00	0.00	0.00	0.00	25990410.00	24250079.00
0.00	0.00	0.00	0.00	0.00	0.00	26018654.00	24256894.00
0.00	0.00	0.00	0.00	0.00	0.00	26045456.00	24268518.00
0.00	0.00	0.00	0.00	0.00	0.00	26150825.00	24345182.00
0.00	0.00	0.00	0.00	0.00	0.00	26192465.00	24359096.00
0.00	0.00	0.00	0.00	0.00	0.00	26377685.00	24398640.00
0.00	0.00	0.00	0.00	0.00	0.00	26419910.00	24525878.00
0.00	0.00	0.00	0.00	0.00	0.00	26480991.00	24633552.00
0.00	0.00	0.00	0.00	0.00	0.00	26515760.00	24634281.00
0.00	0.00	0.00	0.00	0.00	0.00	26615702.00	24715243.00
0.00	0.00	0.00	0.00	0.00	0.00	26660572.00	24751989.00
0.00	0.00	0.00	0.00	0.00	0.00	26787682.00	24789386.00
0.00	0.00	0.00	0.00	0.00	0.00	26843969.00	24794617.00
0.00	0.00	0.00	0.00	0.00	0.00	26849874.00	24875449.00
0.00	0.00	0.00	0.00	0.00	0.00	26855001.00	24930118.00
0.00	0.00	0.00	0.00	0.00	0.00	26881728.00	24983370.00
0.00	0.00	0.00	0.00	0.00	0.00	26922334.00	25178536.00
0.00	0.00	0.00	0.00	0.00	0.00	26955559.00	25293822.00
0.00	0.00	0.00	0.00	0.00	0.00	27070837.00	25346760.00
0.00	0.00	0.00	0.00	0.00	0.00	27094315.00	25428482.00
0.00	0.00	0.00	0.00	0.00	0.00	27117451.00	25529497.00
0.00	0.00	0.00	0.00	0.00	0.00	27118921.00	25634718.00
0.00	0.00	0.00	0.00	0.00	0.00	27132937.00	25727807.00
0.00	0.00	0.00	0.00	0.00	0.00	27202812.00	25851520.00
0.00	0.00	0.00	0.00	0.00	0.00	27344900.00	25964480.00
0.00	0.00	0.00	0.00	0.00	0.00	27412366.00	26011570.00
0.00	0.00	0.00	0.00	0.00	0.00	27453170.00	26020706.00
0.00	0.00	0.00	0.00	0.00	0.00	27467233.00	26030895.00
0.00	0.00	0.00	0.00	0.00	0.00	27602077.00	26035040.00
0.00	0.00	0.00	0.00	0.00	0.00	27629924.00	26047940.00
0.00	0.00	0.00	0.00	0.00	0.00	27684049.00	26050278.00
0.00	0.00	0.00	0.00	0.00	0.00	27768197.00	26053653.00
0.00	0.00	0.00	0.00	0.00	0.00	27860780.00	26074014.00
0.00	0.00	0.00	0.00	0.00	0.00	27865553.00	26115010.00
0.00	0.00	0.00	0.00	0.00	0.00	27911135.00	26123455.00
0.00	0.00	0.00	0.00	0.00	0.00	27918291.00	26171226.00
0.00	0.00	0.00	0.00	0.00	0.00	27968732.00	26344079.00
0.00	0.00	0.00	0.00	0.00	0.00	28017221.00	26528823.00
0.00	0.00	0.00	0.00	0.00	0.00	28059331.00	26547041.00
0.00	0.00	0.00	0.00	0.00	0.00	28141679.00	26550282.00
0.00	0.00	0.00	0.00	0.00	0.00	28271031.00	26555270.00
